"food_id","food_name","portion_size","calorie","protein_gr","carbohydrate_gr","fat_gr"
"11100000",Milk,Per 100g,52.0,3.33,4.83,2.14
"11115300",Buttermilk,Per 100g,43.0,3.46,4.81,1.08
"11115400",Kefir (Includes: fermented milk drink; all types),Per 100g,52.0,3.59,7.48,0.96
"11116000",Goat milk,Per 100g,69.0,3.56,4.45,4.14
"11300100",Non-dairy milk,Per 100g,31.0,1.14,3.04,1.6
"11320000",Soy milk,Per 100g,53.0,3.41,5.22,2.05
"11350000",Almond milk,Per 100g,30.0,0.53,4.31,1.18
"11360000",Rice milk,Per 100g,47.0,0.28,9.17,0.97
"11360200",Oat milk,Per 100g,45.0,0.66,5.37,2.33
"11370000",Coconut milk,Per 100g,31.0,0.21,2.92,2.08
"11400000",Yogurt,Per 100g,94.0,6.67,10.22,2.87
"11436100",Yogurt tube (Includes: pouch; Go-gurt; all types),Per 100g,81.0,4.34,13.68,1.03
"11440010",Chipotle dip,Per 100g,189.0,7.93,3.33,15.99
"11440030",Onion dip,Per 100g,160.0,6.82,4.06,12.91
"11440040",Ranch dip,Per 100g,195.0,8.48,4.13,16.09
"11440050",Spinach dip,Per 100g,159.0,7.02,3.59,12.96
"11440060",Tzatziki dip (Includes: Greek dip),Per 100g,91.0,5.22,4.1,6.0
"11440070",Vegetable dip,Per 100g,191.0,8.16,3.76,16.03
"11446000",Yogurt parfait,Per 100g,104.0,5.25,16.08,2.18
"11459990",Frozen yogurt,Per 100g,127.0,3.0,21.6,3.6
"11461200",Frozen yogurt sandwich (Includes: all flavors; prepackaged frozen yogurt cone),Per 100g,204.0,3.9,34.38,6.25
"11461210",Frozen yogurt bar,Per 100g,127.0,3.0,21.6,3.6
"11461250",Frozen yogurt cone,Per 100g,142.0,3.2,23.9,3.73
"11480000",Baby Toddler food,Per 100g,75.0,4.9,9.08,2.15
"11480010",Baby Toddler yogurt,Per 100g,78.0,3.82,5.57,4.48
"11511000",Chocolate milk,Per 100g,65.0,3.44,10.98,0.83
"11512005",Hot chocolate / cocoa,Per 100g,72.0,1.82,13.9,1.04
"11519040",Strawberry milk,Per 100g,65.0,3.2,8.54,2.06
"11531000",Eggnog (Includes: eggnog,Per 100g,88.0,4.55,8.05,4.19
"11541110",Milk shake,Per 100g,120.0,3.47,13.53,6.14
"11541400",Milk shake with malt (Includes: malted milk with ice cream),Per 100g,125.0,3.76,13.64,6.11
"11551050",Licuado or Batido (Includes: milk fruit drink),Per 100g,75.0,2.33,13.15,1.45
"11553100",Fruit smoothie,Per 100g,66.0,2.32,11.98,1.1
"11553130",Fruit smoothie juice drink,Per 100g,65.0,0.86,15.05,0.14
"11560000",Chocolate milk drink (Includes: Yoo-hoo; other flavors),Per 100g,49.0,0.64,10.68,0.4
"11710000",Infant formula,Per 100g,66.0,1.38,7.12,3.56
"11710481",Toddler formula,Per 100g,58.0,1.73,5.87,3.11
"11825000",Whey,Per 100g,353.0,12.93,74.46,1.07
"11830150",Cocoa powder,Per 100g,228.0,19.6,57.9,13.7
"11830160",Chocolate beverage powder,Per 100g,400.0,4.55,90.28,2.27
"11830400",Strawberry beverage powder,Per 100g,389.0,0.1,99.1,0.2
"12100100",Cream,Per 100g,131.0,3.13,4.3,11.5
"12200100",Coffee creamer,Per 100g,136.0,1.0,11.38,9.97
"12220200",Whipped topping (Includes: Cool Whip; non-dairy; plain or flavored; frozen; Rich's Richwhip; Dream Whip; whipped topping,Per 100g,318.0,1.25,23.05,25.31
"12220270",Whipped topping,Per 100g,224.0,3.0,23.6,13.1
"12310100",Sour cream,Per 100g,196.0,3.07,5.56,17.99
"12350010",Dip,Per 100g,432.0,2.55,3.94,45.18
"13110000",Ice cream,Per 100g,221.0,3.57,26.36,11.3
"13110460",Gelato,Per 100g,249.0,3.5,22.29,16.2
"13120050",Ice cream bar,Per 100g,358.0,2.11,37.12,25.26
"13120110",Ice cream candy bar (Includes: all flavors; light ice cream candy bar; Snickers; Butterfinger),Per 100g,323.0,4.4,30.9,20.2
"13120500",Ice cream sandwich,Per 100g,264.0,4.28,35.88,11.8
"13120550",Ice cream cookie sandwich (Includes: Chipwich),Per 100g,317.0,4.61,43.35,14.11
"13120730",Ice cream cone,Per 100g,215.0,3.68,25.82,10.84
"13120800",Ice cream soda,Per 100g,85.0,0.92,14.02,2.9
"13121000",Ice cream sundae,Per 100g,243.0,3.7,31.94,11.16
"13121120",Banana split,Per 100g,199.0,2.42,32.59,6.88
"13130100",Light ice cream,Per 100g,174.0,4.38,25.44,6.14
"13130700",Soft serve,Per 100g,176.0,4.0,26.18,6.06
"13135000",Light ice cream sandwich,Per 100g,239.0,4.93,37.26,8.15
"13140000",Light ice cream bar,Per 100g,236.0,3.23,18.76,16.65
"13140700",Creamsicle (Includes: Dreamsicle),Per 100g,165.0,1.54,32.75,3.08
"13140900",Fudgesicle,Per 100g,163.0,2.56,29.99,3.67
"13142100",Light ice cream cone,Per 100g,223.0,5.41,34.23,7.3
"13150000",Sherbet,Per 100g,144.0,1.1,30.4,2.0
"13200110",Pudding,Per 100g,142.0,2.09,23.01,4.6
"13210300",Custard,Per 100g,97.0,5.08,10.97,3.64
"13210350",Flan (Includes: Leche flan),Per 100g,178.0,5.23,28.24,4.94
"13210370",Creme brulee,Per 100g,113.0,4.06,17.85,2.83
"13210450",Firni,Per 100g,144.0,3.58,25.13,3.11
"13241000",Banana pudding,Per 100g,160.0,2.57,28.0,4.26
"13250000",Mousse (Includes: all flavors),Per 100g,212.0,4.2,16.23,15.12
"13252200",Dulce de leche (Includes: milk dessert),Per 100g,315.0,6.84,55.35,7.35
"13252500",Barfi or Burfi,Per 100g,284.0,5.42,40.43,11.36
"13252590",Trifle,Per 100g,169.0,3.52,23.24,7.15
"13252600",Tiramisu,Per 100g,353.0,5.65,29.44,23.86
"13411000",White sauce or gravy,Per 100g,144.0,3.84,9.21,10.2
"14010000",Cheese,Per 100g,381.0,20.7,4.33,31.26
"14131000",Queso Anejo,Per 100g,373.0,21.44,4.63,29.98
"14131500",Queso Asadero (Includes: Oaxacan-style string cheese),Per 100g,297.0,22.14,2.4,22.1
"14133000",Queso Fresco (Includes: Queso Ranchero; Mexican cheese,Per 100g,298.0,18.88,2.96,23.36
"14134000",Queso cotija,Per 100g,351.0,23.84,2.72,27.24
"14201200",Cottage cheese,Per 100g,148.0,10.96,4.33,9.73
"14203510",Puerto Rican white cheese (Includes: Queso del pais,Per 100g,298.0,18.88,2.96,23.36
"14301010",Cream cheese,Per 100g,343.0,5.79,4.56,33.49
"14410330",Cheese spread,Per 100g,176.0,13.41,10.71,8.88
"14502000",Imitation cheese (Includes: American; cheddar; mozzarella; imitation cheese,Per 100g,390.0,25.0,1.0,32.0
"14610520",Cheese ball (Includes: cheese with nuts),Per 100g,441.0,17.89,4.84,38.88
"14620110",Artichoke dip,Per 100g,331.0,3.86,5.78,32.67
"14620115",Spinach and artichoke dip,Per 100g,329.0,4.21,5.07,32.76
"14620130",Seafood dip (Includes: clam dip; crab dip; shrimp dip; tuna dip),Per 100g,337.0,6.18,4.2,32.8
"14620150",Cheese dip with chili pepper (Includes: chili con queso; jalapeno cheddar; salsa con queso),Per 100g,143.0,3.14,11.14,9.51
"14620200",Cheese dip (Includes: cheese other than blue or cream cheese),Per 100g,163.0,3.14,7.86,13.27
"14620300",Topping from cheese pizza (Includes: cheese and tomato sauce from pizza crust of any thickness),Per 100g,230.0,16.86,7.62,14.67
"14620310",Topping from vegetable pizza (Includes: cheese,Per 100g,247.0,15.59,12.18,15.61
"14620320",Topping from meat pizza (Includes: cheese,Per 100g,321.0,19.19,5.65,24.52
"14620330",Topping from meat and vegetable pizza (Includes: cheese,Per 100g,299.0,17.55,7.66,22.03
"14630100",Cheese fondue,Per 100g,276.0,19.32,1.95,21.2
"14630200",Cheese souffle,Per 100g,207.0,9.43,6.38,16.01
"14630300",Welsh rarebit,Per 100g,165.0,7.5,6.32,12.26
"14640000",Cheese sandwich,Per 100g,297.0,12.46,31.89,13.29
"14640100",Grilled cheese sandwich,Per 100g,343.0,11.03,28.09,20.78
"14650100",Cheese sauce,Per 100g,163.0,3.14,7.86,13.27
"14650160",Alfredo sauce (Includes: cream sauce),Per 100g,150.0,2.12,1.77,15.0
"14650165",Alfredo sauce with added vegetables,Per 100g,122.0,2.07,2.65,11.54
"14650170",Alfredo sauce with meat,Per 100g,171.0,6.52,1.44,15.34
